Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
"Fruit, whole fruit",FAFH: School,Cups,"Fruit, whole fruit:FAFH: School",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Fruit, whole fruit",FAFH: Others,Cups,"Fruit, whole fruit:FAFH: Others",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Plant
"Vegetable, total",Total,Cups,"Vegetable, total:Total",2017-2018-Mean,1.39,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,11.12,Plant
"Vegetable, total",FAH,Cups,"Vegetable, total:FAH",2017-2018-Mean,0.9,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,7.2,Plant
"Vegetable, total",FAFH,Cups,"Vegetable, total:FAFH",2017-2018-Mean,0.49,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.92,Plant
"Vegetable, total",FAFH: Restaurant,Cups,"Vegetable, total:FAFH: Restaurant",2017-2018-Mean,0.17,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.36,Plant
"Vegetable, total",FAFH: Fast food,Cups,"Vegetable, total:FAFH: Fast food",2017-2018-Mean,0.23,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.84,Plant
"Vegetable, total",FAFH: School,Cups,"Vegetable, total:FAFH: School",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetable, total",FAFH: Others,Cups,"Vegetable, total:FAFH: Others",2017-2018-Mean,0.08,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.64,Plant
"Vegetables, potatoes ",Total,Cups,"Vegetables, potatoes:Total",2017-2018-Mean,0.36,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.88,Plant
"Vegetables, potatoes ",FAH,Cups,"Vegetables, potatoes:FAH",2017-2018-Mean,0.22,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.76,Plant
"Vegetables, potatoes ",FAFH,Cups,"Vegetables, potatoes:FAFH",2017-2018-Mean,0.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.12,Plant
"Vegetables, potatoes ",FAFH: Restaurant,Cups,"Vegetables, potatoes:FAFH: Restaurant",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Plant
"Vegetables, potatoes ",FAFH: Fast food,Cups,"Vegetables, potatoes:FAFH: Fast food",2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.56,Plant
"Vegetables, potatoes ",FAFH: School,Cups,"Vegetables, potatoes:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Vegetables, potatoes ",FAFH: Others,Cups,"Vegetables, potatoes:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Vegetables, other starchy",Total,Cups,"Vegetables, other starchy:Total",2017-2018-Mean,0.06,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.48,Plant
"Vegetables, other starchy",FAH,Cups,"Vegetables, other starchy:FAH",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Plant
"Vegetables, other starchy",FAFH,Cups,"Vegetables, other starchy:FAFH",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Vegetables, other starchy",FAFH: Restaurant,Cups,"Vegetables, other starchy:FAFH: Restaurant",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
