EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
M44121+P44121,Pelleh Poultry Corp.                                                                                ,123475.0,234.0,0.0,0.0,49.0,11.0,0.0,22.45,0.0,both
M45190+P45190,Garden Path Farms                                                                                   ,124546.0,51.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,both
M45479+P45479,"Rettland Farm, LLC                                                                                  ",127028.0,127.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,both
M45525+P45525+V45525,Pine Creek Processing LLC                                                                           ,127117.0,132.0,1.0,0.0,23.0,13.0,0.0,56.52,0.0,both
M46324A+P46324A+V46324A,Morning Star Poultry                                                                                ,6165029.0,233.0,0.0,0.0,63.0,3.0,0.0,4.76,0.0,both
M46498+P46498,"Westminster Meat Packing, Inc.                                                                      ",6164241.0,154.0,0.0,0.0,47.0,14.0,0.0,29.79,0.0,both
M4653A+P4653A+V4653A,"Agri Star Meat and Poultry, LLC                                                                     ",3356.0,246.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,both
M46910+P46910+V46910,B & R Meat Processing                                                                               ,126548.0,29.0,0.0,0.0,12.0,2.0,0.0,16.67,0.0,both
M46942+P46942,Maple Wind Farm                                                                                     ,126606.0,45.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,both
M47579+P47579,Tyson Foods Inc.                                                                                    ,6165818.0,544.0,0.0,1.0,106.0,8.0,0.0,7.55,0.0,both
M48281+P48281+V48281,"White Lake Foods, LLC                                                                               ",6163490.0,283.0,0.0,0.0,47.0,7.0,0.0,14.89,0.0,both
M51255+P51255,Natural State Processing                                                                            ,6162809.0,155.0,0.0,0.0,47.0,5.0,0.0,10.64,0.0,both
M51302+P51302,Belmont Meats LLC                                                                                   ,6163296.0,32.0,0.0,0.0,14.0,2.0,0.0,14.29,0.0,both
M51351+P51351,Underground Slaughter LLC                                                                           ,6163957.0,51.0,0.0,1.0,8.0,2.0,0.0,25.0,0.0,both
M544+P544,Jennie-O Turkey Store                                                                               ,6164451.0,659.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,both
M5533+P5533+V5533,"West Liberty Foods, LLC                                                                             ",3362.0,235.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,both
M56+P56,Pilgrim's Pride Corporation                                                                         ,2216.0,528.0,0.0,0.0,98.0,3.0,0.0,3.06,0.0,both
M579+P579+V579,Jennie-O Turkey Store                                                                               ,2969.0,485.0,0.0,0.0,82.0,7.0,0.0,8.54,0.0,both
M5842+P5842+V5842,"Tyson Foods, Inc.                                                                                   ",3873.0,524.0,0.0,0.0,121.0,6.0,0.0,4.96,0.0,both
M6137+P6137,"Foster Poultry Farms, LLC                                                                           ",5308.0,1059.0,1.0,1.0,115.0,16.0,0.0,13.91,0.0,both
M667+P667,Mountaire Farms Inc.                                                                                ,2249.0,511.0,0.0,0.0,111.0,2.0,0.0,1.8,0.0,both
M7100+P7100+V7100,"Tyson Foods, Inc.                                                                                   ",3880.0,500.0,0.0,1.0,108.0,0.0,0.0,0.0,0.0,both
M7345+P7345,"Butterball, LLC                                                                                     ",651.0,744.0,0.0,0.0,61.0,15.0,0.0,24.59,0.0,both
M737+P737,House of Raeford - Wallace Div                                                                      ,581.0,490.0,0.0,0.0,125.0,5.0,0.0,4.0,0.0,both
M7428+P7428+V7428,"Joyce Foods, Inc.                                                                                   ",656.0,107.0,0.0,0.0,62.0,10.0,0.0,16.13,0.0,both
M744+P744,Vineland Poultry LLC                                                                                ,846.0,153.0,0.0,0.0,33.0,6.0,0.0,18.18,0.0,both
M7470+P7470,Mountaire Farms Inc. - NC Division                                                                  ,664.0,535.0,0.0,2.0,106.0,0.0,0.0,0.0,0.0,both
M7478+P1,"Tyson Foods, Inc.                                                                                   ",567.0,517.0,0.0,1.0,110.0,3.0,0.0,2.73,0.0,both
M751+P1049,Pitman Farms Inc. (Moroni Turkey Processing)                                                        ,4807.0,245.0,0.0,1.0,77.0,19.0,0.0,24.68,0.0,both
M7559+P134+V7559,David Elliot Poultry Farm Inc.                                                                      ,6530.0,257.0,0.0,0.0,48.0,22.0,0.0,45.83,0.0,both
M757+P757+V757,The Hillshire Brands Company                                                                        ,3276.0,547.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,both
M810+P810,Pilgrim's Pride Corporation                                                                         ,1906.0,516.0,0.0,0.0,112.0,6.0,0.0,5.36,0.0,both
M829+P829,"Juniper Creek Farms, LLC                                                                            ",6166925.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
M9977+P1325,"Tyson Foods, Inc.                                                                                   ",6847.0,415.0,0.0,0.0,55.0,4.0,0.0,7.27,0.0,both
P1009,Wayne Farms LLC                                                                                     ,3858.0,505.0,0.0,0.0,106.0,10.0,0.0,9.43,0.0,both
P1096A,"VPGC,LLC                                                                                            ",9551.0,248.0,0.0,0.0,65.0,4.0,0.0,6.15,0.0,both
P1137,"Tyson Foods, Inc.                                                                                   ",4159.0,559.0,0.0,0.0,106.0,2.0,0.0,1.89,0.0,both
P1201,Pilgrim's Pride Corporation                                                                         ,586.0,543.0,0.0,0.0,104.0,8.0,0.0,7.69,0.0,both
P1209,Whitewater Processing LLC                                                                           ,1914.0,288.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,both
P1235,Wayne Farms LLC                                                                                     ,4509.0,493.0,0.0,0.0,111.0,3.0,0.0,2.7,0.0,both
P1243,"Perdue Foods, LLC.                                                                                  ",589.0,561.0,0.0,4.0,173.0,43.0,0.0,24.86,0.0,both
P1249,"George's Chicken, LLC                                                                               ",2264.0,521.0,0.0,0.0,124.0,8.0,0.0,6.45,0.0,both
P1250,Fieldale Farms Corporation                                                                          ,41.0,525.0,0.0,0.0,188.0,25.0,0.0,13.3,0.0,both
P1254+V1254,"Koch Foods of Ashland, LLC                                                                          ",4510.0,527.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,both
P1257,Fieldale Farms Corporation                                                                          ,44.0,514.0,0.0,0.0,78.0,3.0,0.0,3.85,0.0,both
P1272,Pilgrim's Pride Corporation                                                                         ,45.0,464.0,0.0,0.0,106.0,2.0,0.0,1.89,0.0,both
P1284,Pilgrim's Pride Corporation                                                                         ,48.0,516.0,0.0,0.0,101.0,5.0,0.0,4.95,0.0,both
P1294+V1294,Holmes Foods Inc.                                                                                   ,4161.0,252.0,0.0,0.0,78.0,2.0,0.0,2.56,0.0,both
P1307,Mar-Jac Poultry-AL                                                                                  ,4567.0,529.0,0.0,0.0,142.0,11.0,0.0,7.75,0.0,both
P1309,House of Raeford Farms Inc.                                                                         ,592.0,508.0,0.0,1.0,112.0,4.0,0.0,3.57,0.0,both
P1315,"Tyson Foods, Inc.                                                                                   ",3570.0,419.0,0.0,0.0,107.0,6.0,0.0,5.61,0.0,both
P1317+V1317,Wayne Farms LLC                                                                                     ,4495.0,491.0,0.0,0.0,104.0,2.0,0.0,1.92,0.0,both
P1318,"Perdue Foods, LLC                                                                                   ",2267.0,736.0,0.0,0.0,110.0,5.0,0.0,4.55,0.0,both
P13369+V13369,"George's Processing, Inc.                                                                           ",3752.0,462.0,0.0,0.0,78.0,2.0,0.0,2.56,0.0,both
P1353,Pilgrim's Pride Corporation                                                                         ,4568.0,517.0,0.0,1.0,76.0,1.0,0.0,1.32,0.0,both
P1480,"Tip Top Poultry, Inc.                                                                               ",53.0,492.0,0.0,0.0,30.0,3.0,0.0,10.0,0.0,both
P15724+V15724,Case Farms Processing                                                                               ,2091.0,543.0,0.0,7.0,99.0,7.0,0.0,7.07,0.0,both
P1605,"Tide Mill Organic Farm, LLC                                                                         ",6167063.0,76.0,0.0,0.0,19.0,1.0,0.0,5.26,0.0,both
P165H,Bachoco OK Foods                                                                                    ,3833.0,503.0,0.0,3.0,103.0,5.0,0.0,4.85,0.0,both
P165S+V165S,Bachoco OK Foods                                                                                    ,3850.0,514.0,0.0,2.0,110.0,8.0,0.0,7.27,0.0,both
P170,Wayne Farms LLC                                                                                     ,8.0,505.0,0.0,0.0,110.0,8.0,0.0,7.27,0.0,both
P17340,Pilgrim's Pride Corporation                                                                         ,2111.0,523.0,0.0,0.0,107.0,6.0,0.0,5.61,0.0,both
P17500,Pilgrim's Pride Corporation                                                                         ,4526.0,503.0,0.0,0.0,107.0,3.0,0.0,2.8,0.0,both
P177,Pilgrim's Pride Corporation                                                                         ,9.0,545.0,0.0,0.0,114.0,6.0,0.0,5.26,0.0,both
P17734,Stonewood Farm Inc.                                                                                 ,1819.0,30.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,both
P1788+V1788,Steadfast Farms Poultry Processing & Slaughter LLC                                                  ,6167199.0,40.0,0.0,0.0,1.0,1.0,0.0,100.0,0.0,both
